last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_swing_miss,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,name,WAR
Hundley,Nick,2016,0.253,0.392,0.309,0.314,0.134,0.379,0.36,0.333,0.326,0.007,0.047,0.014,89.7,10.5,28.8,12,5.3,6.2,24.8,25.2,36.7,1.8,37.2,74.5,16.9,24.7,52.1,47.9,74,142,48.1,574,82.3,8,83.1,78,25.2,50.5,46,20.4,27,6.6,23,2,1.99,2.03,8,1.63,1.66,1.54,0.75,80.9,,,,,,,0,,25.7,Nick Hundley,-0.1
Gordon,Alex,2016,0.232,0.425,0.327,0.323,0.191,0.378,0.419,0.329,0.347,-0.012,-0.045,-0.024,87.8,15.4,35.6,26,8.7,7.4,27.2,23.5,29.2,4,36.6,65.1,19.5,23.9,53.9,46.1,144,267,52.5,1115,79.8,6.1,80.5,128,29.4,43.5,38.6,28.5,27.9,5,,,,,,,,,,,3,-1.1,-0.6,0.8,-0.9,32.2,1,,26.2,Alex Gordon,-0.1
Cabrera,Melky,2016,0.281,0.385,0.317,0.333,0.102,0.357,0.326,0.332,0.317,0.015,0.07,0.025,89.2,10.9,33.6,11,2.1,4,29.2,27.7,36,0.9,34,66.9,8.9,34,22.5,77.5,99,440,54.5,1294,71.1,6.7,91.1,64,14,48.9,43.6,21.1,28.1,7.2,,,,,,,,,,,-13,-1.5,-2.3,0.7,-3.1,29.6,0,,25.6,Melky Cabrera,-0.1
Montero,Miguel,2016,0.199,0.329,0.286,0.315,0.127,0.315,0.296,0.281,0.261,0.017,0.028,0.013,86.2,8.9,28.6,10,5.4,4.3,21.1,22.7,43.2,3.2,25.9,76.2,21.3,24.4,34.3,65.7,49,143,51.8,587,89.7,6.9,78.7,89,24.6,49.4,51.4,22.7,20.5,5.4,18,2.06,2.06,2.04,3,1.69,1.69,,0.77,80.6,,,,,,,1,,23.5,Miguel Montero,-0.1
Wolters,Tony,2016,0.224,0.31,0.273,0.296,0.083,0.374,0.316,0.349,0.302,0.035,0.085,0.039,82.6,5,36.5,4,2.6,3.8,22.4,21.8,40.4,9,19.2,62.9,17.8,27.3,39.3,60.7,46,117,49,429,71.8,8.1,82.2,50,24.1,45.4,50.6,14.7,31.4,3.2,15,1.99,1.97,2.01,4,1.53,1.55,1.49,0.68,80.2,,,,,,,0,,27.1,Tony Wolters,-0.1
Holliday,Matt,2016,0.266,0.463,0.353,0.342,0.195,0.363,0.387,0.301,0.329,-0.02,-0.002,-0.018,93,8.3,27.9,25,8,7.4,22.8,20.8,39.7,1.3,47.4,71.2,13.7,29.8,34.5,65.5,89,258,55.3,865,78.5,6,86.3,68,20.8,48.3,50.3,19.2,23.1,7.4,,,,,,,,,,,-6,-0.8,-1.7,0.6,-1.9,30.5,0,,25.9,Matt Holliday,0
Davis,Rajai,2016,0.242,0.352,0.289,0.3,0.107,0.35,0.332,0.323,0.314,0.007,0.036,0.013,85.9,14,30.8,12,3.4,5.1,23.4,27.6,37,3.4,29.9,71.1,16,31,43.1,56.9,121,281,49.3,906,79.7,9.4,84,106,24.1,51.3,45.9,21.1,24.5,8.5,,,,,,,,,,,-1,-1.7,-0.4,0.6,-1.5,31.6,43,,28.9,Rajai Davis,0
Davis,Chris,2016,0.219,0.489,0.351,0.332,0.268,0.459,0.479,0.357,0.357,0.002,-0.03,-0.011,90.8,16.9,36.3,53,15.1,8,20.3,25.7,27.1,3.7,44,62.3,26.9,27.3,55.1,44.9,233,423,56.3,1551,73,5.9,73.1,202,37.1,42.6,37.7,34.6,22,5.7,,,,,,,,,,,,,,,,,1,,26.5,Chris Davis,0
Gonzalez,Carlos,2016,0.28,0.472,0.346,0.334,0.189,0.434,0.413,0.382,0.36,0.018,0.033,0.015,90.1,8.6,32.9,40,8.8,6.1,23.9,20.4,37.7,3.1,41.2,72.8,22.2,34.3,44.9,55.1,201,448,56.2,1307,77.1,6.7,77.8,165,30.7,51.2,46.5,17.8,29.2,6.6,,,,,,,,,,,-3,1.5,-0.5,-1.6,-0.5,32.6,0,,27,Carlos Gonzalez,0
Lucroy,Jonathan,2016,0.276,0.473,0.349,0.342,0.194,0.415,0.399,0.363,0.345,0.016,0.027,0.012,87.6,14.7,38.1,30,7.6,5.3,28.4,24.4,30.7,3.6,34.8,56.7,13.2,28.3,32.6,67.4,100,307,49.1,1084,61.9,8.8,86.8,84,19.5,42.8,38.6,21.6,31.5,8.4,58,2.01,2.01,2.01,6,1.61,1.71,1.55,0.73,81.1,,,,,,,1,,25.6,Jonathan Lucroy,0
